nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
EDIFICIO RESIDENCIAL COMERCIAL CONZATTI;8112500;4308607;RS;CENTRO
GPS TOPOGRAFIA & MAPEAMENTO;7119701;4308607;RS;CENTRO
TRANSPORTES SAO FRANCISCO;4930201;4308607;RS;SAO FRANCISCO
JB CONSTRUCOES;4399103;4308607;RS;CENTRO
RELATO CONTEUDO;5811500;4308607;RS;CHACARAS
CHANDON;0132600;4308607;RS;1 DISTRITO
SIM - REDE DE POSTOS;4731800;4308607;RS;CAIRU
CONFECCOES LEME S;1412601;4308607;RS;CHAMPAGNE
MANOELA 01646380088;8592999;4308607;RS;CENTRO
EDIFICIO UNIQUE;4110700;4308607;RS;CENTRO
DACH INSTALACOES ELETRICAS;4321500;4308607;RS;FERROVIARIO
MT - MOTOS;4541203;4308607;RS;CENTRO
MASTER ESCRITORIO CONTABIL;6920601;4308607;RS;CHAMPAGNE
UNIDADE DE ATENDIMENTO GARIBALDI BUARQUE DE MACEDO;6424703;4308607;RS;CENTRO
TRANSMORELATTO TRANSPORTES;4930202;4308607;RS;CENTRO
JEET TECNOLOGIA;2229302;4308607;RS;SIMONAGGIO
SPADER EMPREENDIMENTOS;4110700;4308607;RS;CENTRO
BAR E LANCHERIA CASTRO;5611204;4308607;RS;VALE VERDE
AGROLUBRI;4789099;4308607;RS;CENTRO
SORVETERIA CACIMBA;1053800;4308607;RS;BAIRRO SAO FRANCISCO
WM INSTALACOES HIDRAULICAS;4322301;4308607;RS;SANTA TEREZINHA
EVIDENCE STYLO CAR;4530703;4308607;RS;CENTRO
ALINE BORTOLINI FOTOGRAFIA;7420001;4308607;RS;MARCORAMA
CONSEGUE RECURSOS;8219999;4308607;RS;CENTRO
SIM - REDE DE POSTOS;4731800;4308607;RS;GARIBALDINA
A T MOTOS;4543900;4308607;RS;CENTRO
PULITA COLCHOES;4754702;4308607;RS;CENTRO
G J MONTAGEM DE ESTRUTURAS;2539001;4308607;RS;SAO JOSE
REPRESENTACOES SALINI;4617600;4308607;RS;CENTRO
CEREALISTA COSTI;4632001;4308607;RS;SEXTO
IMPERIO DAS UNHAS;9602501;4308607;RS;SANTA TEREZINHA
HCS;2833000;4308607;RS;GARIBALDINA
LOJA E BAZAR DA POLA;4781400;4308607;RS;CENTRO
PATRICIA FABRIM BEAUTY & ACADEMY;9609206;4308607;RS;CENTRO
GABI'S;9529199;4308607;RS;CENTRO
ELETROBONA;4321500;4308607;RS;SAO ROQUE FIGUEIRA DE MELLO
CGL INOX;2599399;4308607;RS;TAMANDARE
EDIFICIO RESIDENCIAL E COMERCIAL CARMEL;4110700;4308607;RS;CENTRO
D'ARRASTO SHOWCAR;8230001;4308607;RS;CENTRO
JARDIM E VINHOS;0121101;4308607;RS;SAO FRANCISCO
SE CARLOS BARBOSA;3514000;4308607;RS;SAO MIGUEL
BELMOBILE MOVELARIA;3101200;4308607;RS;SAO JOSE
ORDENHANDO LEITE MATERNO;5811500;4308607;RS;CHACARAS
FARZEN EQUIPAMENTOS;2521700;4308607;RS;GARIBALDINA
MARCIO J ANDREOLA;8219999;4308607;RS;CENTRO
SE GARIBALDI 2;3514000;4308607;RS;INTEGRACAO
FUNDO MUNICIPAL DO IDOSO;8411600;4308607;RS;CENTRO
JATT MARCENARIA;3101200;4308607;RS;LINHA SAO GABRIEL
DUANNE ELLEN ESTETICA SAUDE & BEM ESTAR;9602502;4308607;RS;CENTRO
ELETRON INSTALACOES ELETRICAS;4321500;4308607;RS;Chacaras
ELIZETE SEGATTO CONSULTORIA;7319002;4308607;RS;TRES LAGOAS
POST ENGENHARIA;7112000;4308607;RS;CHAMPANHE
STILLO;4930202;4308607;RS;CENTRO
TAQI;4753900;4308607;RS;CENTRO
IMCOLOSS;4637101;4308607;RS;CENTRO
DROGARIA CAPILE;4771701;4308607;RS;CENTRO
FRANGONOSSO;1012101;4308607;RS;SEDE
LANCHERIA GUARNIERI;5611203;4308607;RS;CENTRO
RD ENTREGA RAPIDA;5320202;4308607;RS;ARARIPE
RAPIDO GARIBALDI;4930202;4308607;RS;ALFANDEGA
GABBI MOVEIS;3101200;4308607;RS;SEDE
CANTINHO DA MIUDEZA;4755502;4308607;RS;CENTRO
CONSEPRO;9430800;4308607;RS;SAO JOSE
FABIANO CAMOZZATO RAYMUNDI;6912500;4308607;RS;CENTRO
ARAUCARIA;1610203;4308607;RS;SEGUNDO
ACOPEMA ESTUFAS AGRICOLAS / PEMAX ANDAIMES;2833000;4308607;RS;LINHA GARIBALDINA
CASA AGRICOLA MARCORAMA;4744001;4308607;RS;SEXTO DISTRITO
JUCITUR;4929902;4308607;RS;SAO FRANCISCO
SANUVITAS LABORATORIOS;7120100;4308607;RS;CAIRU
