nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
FERNANDA MULLER;9609208;4305108;RS;CINQUENTENARIO
V S AGROPECUARIA;4789004;4305108;RS;SANTO ANTONIO
LILLY PET;9609208;4305108;RS;DIAMANTINO
RABITTO'S PET STORE;4789004;4305108;RS;CRISTO REDENTOR
MERCADO E LANCHERIA RESERVA DO VALE;4712100;4305108;RS;SAO GIACOMO
REINO DA RACAO;4789004;4305108;RS;PLANALTO
KS CONGELADOS E BEBIDAS;4712100;4305108;RS;KAYSER
TONUCHA;9609208;4305108;RS;PIONEIRO
S.T.P. RACOES E SILAGENS;4789004;4305108;RS;CRIUVA
MOREIRA MERCADO;4712100;4305108;RS;RIO BRANCO
FELICIAS ESTETICA ANIMAL E VETERNIARIA;9609208;4305108;RS;RIO BRANCO
PET MANIA;9609208;4305108;RS;JARDIM AMERICA
FERRAO;4712100;4305108;RS;CHARQUEADAS
SABOR DA SERRA;4712100;4305108;RS;MADUREIRA
MINI MERCADO BRAND;4712100;4305108;RS;CIDADE NOVA
CASA DO CANARIO;4789004;4305108;RS;CRUZEIRO
AGROMACHADO;4789004;4305108;RS;ESPLANADA
DIA;4711302;4305108;RS;SAO LEOPOLDO
PATAS DE OURO;4789004;4305108;RS;SAGRADA FAMILIA
MERCADO BOM GOSTO;4712100;4305108;RS;SANTA FE
SUPERMERCADO HORTENCIA;4711302;4305108;RS;MARILAND
MIMOS BANHO E TOSA;9609208;4305108;RS;CHARQUEADAS
CLAUDIO CORREA;9609207;4305108;RS;VILA SECA
DOG'S LIFE;7500100;4305108;RS;CENTRO
W E M;4712100;4305108;RS;PARADA CRISTAL
PET SOUND DIAGNOSTICO POR IMAGEM;7500100;4305108;RS;CHARQUEADAS
MINI MERCADO FELICIDADE;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
MINE MERCADO DA ELIZETE;4712100;4305108;RS;SAO LUIZ
FILIAL 376;4711302;4305108;RS;SAO PELEGRINO
IMPERIO DOS PETS;9609208;4305108;RS;MARECHAL FLORIANO
ARMAZEM DOS PETS;4789004;4305108;RS;CENTRO
ACTIVE DOG CX;9609207;4305108;RS;SAO JOSE
DUCAO VETERINARIA;7500100;4305108;RS;PANAZZOLO
LUCY DOGS & CATS;9609208;4305108;RS;NOSSA SENHORA DA SAUDE
IMPERIO CASA DE RACOES;4789004;4305108;RS;NOSSA SENHORA DE FATIMA
COMERCIAL BOI BRABO;4789004;4305108;RS;CENTRO
MERCEARIA OASIS;4712100;4305108;RS;NOSSA SENHORA DO ROSARIO
CONVENIENCIA VITORIA;4712100;4305108;RS;SAO VICTOR COHAB
GROOMER PET;9609208;4305108;RS;CRUZEIRO
MINI MERCADO E FRUTEIRA DA FAMILIA;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
MERCEARIA JOSEANE;4712100;4305108;RS;DESVIO RIZZO
ROSEPET;9609208;4305108;RS;SANTA CATARINA
BICHINHO SAPECA;9609208;4305108;RS;PLANALTO
SUPER QUALITAT 24 HORAS;4712100;4305108;RS;SAO LEOPOLDO
BABA DE PET;9609208;4305108;RS;NOSSA SENHORA DA SAUDE
PONTO DOS PETS;4789004;4305108;RS;SERRANO
JOHNNIE GROOMER;9609208;4305108;RS;CRISTO REDENTOR
OLIVEIRA;4789004;4305108;RS;CINQUENTENARIO
CENTRO MEDICO VETERINARIO HUMANITARE;4789004;4305108;RS;PRESIDENTE VARGAS
L.R.FLECKE SERVICOS VETERINARIOS;7500100;4305108;RS;PANAZZOLO
DELTA;4712100;4305108;RS;CHARQUEADAS
ERIKA ANDRADE VETERINARIA;7500100;4305108;RS;SANVITTO
MINIMERCADO FARIAS;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
MERCADO NININHA;4712100;4305108;RS;SANTA CATARINA
MERCADO TRADICAO;4712100;4305108;RS;SANTA CATARINA
ACHOU PEGOU LEVOU BAZAR;4712100;4305108;RS;SAO PELEGRINO
SUPER CATARINA;4712100;4305108;RS;PLANALTO I
BIANCHI PET'S SERVICOS DE ESTETICA ANIMAL LTDA;4789004;4305108;RS;RIO BRANCO
MAMIFEROS & CIA;4789004;4305108;RS;PANAZZOLO
AGROERR / BOLA CHEIA;4789004;4305108;RS;ESPLANADA
NEW LIFE ALIMENTOS;4691500;4305108;RS;DESVIO RIZZO
MERCADO LUCENA;4712100;4305108;RS;SANTA CORONA
MERCADO PERUZZO;4712100;4305108;RS;PLANALTO RIO BRANCO
CLINICA VETERINARIA LUCIANA GUIDOLIN;7500100;4305108;RS;CENTRO
ZAFFARI;4711302;4305108;RS;BAIRRO LOURDES
MERCEARIA MELLO PILLATI;4711301;4305108;RS;RIO BRANCO
ARMAZEM SAO CAETANO;4712100;4305108;RS;SAO CAETANO
